"Отметка времени","If you weren't on master; what branch were you on? Please use the full code name of the branch, not short hand. The 'origin/' isn't needed.","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","Was this an observer game?","If this game was NOT an observer, which nation did you play? Please use the tag of the nation in capital letters.","If you did switch to any other nation, who was it? Please use the tag of the nation in capital letters. Note this is only if you legally switched, console commands don't count here.","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","When in real life did you start this game?","Did you crash?","If you did crash...","Were you in single-player or multi-player?","Who won the Spanish Civil War? If one side is close to winning put them down.","When did the Spanish Civil War end?","Who won the Indochinese civil war? If one side is close to winning put them down.","When did the Indochinese civil war end?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","When did the 2nd Weltkrieg start?","If the 2nd Weltkrieg did not start in 1939...","Who won the French-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If Russia was socialist, who won the Russo-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If Russia was NOT socialist, who won the Russo-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Did National France land on the mainland?","Did Canada land on Britain?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war? If one side is close to winning put them down.","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war? If one side is close to winning put them down.","Who won the Fourth Balkan War? If one side is close to winning put them down.","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","Did the Netherlands go socialist?","Did Japan go to war with Russia?","Did Japan go to war with Qing?","Did Japan attack Fengtian?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?","If someone intervened in the League War, who was it?"
"2022/04/10 10:30:02 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1943","2022-04-10","No","","Single-player","CNT-FAI","1940","Indochina","","","","","NEE","","1940","Yes, sided with PSA","1939","","Reichspakt","","Reichspakt","","1941","1941","1943","No","1939","","","","","1941","","","","Yes, successfully","Yes, successfully","Two Sicilies","","","","Bulgaria","","The Ottoman Empire","","","No","Iraq;Armenia;Cyrenaica","Princely Federation/Hyderabad","No","Yes, Japan started the war","Yes, Japan started the war","No","Nobody","","Republic of East Turkestan","1939","","","Anqing Clique","1937",""
"2022/04/10 10:30:13 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","CNT-FAI","1939","Indochina","","","USA","","","","1943","No","1939","","Reichspakt","","Russia","1941","1943","","","No","1939","","","","","1939","1941","1940","Yes, during or after WK2","No","No","Split between starting nations","","","","The Pact","The Cairo Pact","","","","No","Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Yes, someone else started the war","Yes, Japan started the war","No","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Anqing Clique","1936",""
"2022/04/10 10:30:25 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","Kingdom of Spain","1941","Indochina","1938","","","USA","","","1939","No","1939","","Internationale","","Russia","1940","","","","Yes, during or after WK2","1940","1943","Internationale","1941","Internationale (not France)","1940","1941","1940","Yes, during or after WK2","No","Yes, was repelled","Socialist Republic of Italy","Chile","1938","","The Pact","","The Cairo Pact","","","Yes, but OTT still lost the war","Kurdistan;Assyria;Armenia;Cyrenaica","Split between starting nations","No","Yes, someone else started the war","Yes, Japan started the war","No","Nobody","","Republic of East Turkestan","1940","","","Nanjing Clique","1936",""
"2022/04/10 10:30:35 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","Kingdom of Spain","1939","Indochina","","","TEX","","","","1941","Yes, declared war on CSA","1939","","Internationale","","Russia","1942","","","","No","","","","1944","Commune of France","1939","1941","1939","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Peaceful Reunification","","","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Iraq;Assyria;Cyprus;Armenia;Tripolitania","Bharatiya Commune","No","Yes, Russia started the war","Yes, Japan started the war","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Left Kuomintang","1937",""
"2022/04/10 10:30:46 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","CNT-FAI","","Indochina","1937","","","TEX","","","1942","No","1939","","Reichspakt","","","","1943","1943","","No","1940","","","","","Did not join","","Did not join","","Yes, successfully","Yes, successfully","Split between starting nations","Chile","1943","","The Pact","","The Ottoman Empire","","","No","Armenia;Cyrenaica","Split between starting nations","No","Yes, someone else started the war","Yes, Japan started the war","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1941","Anqing Clique","1937",""
"2022/04/10 10:30:57 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","CNT-FAI","1940","Indochina","1937","CSA","","","","","1941","No","1939","","Internationale","","Russia","1941","","","","No","1940","","","1941","Commune of France","1939","1941","1940","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1939","","The Pact","","","The Ottoman Empire","","No","Kurdistan;Cyprus;Armenia;Cyrenaica","Split between starting nations","Yes","Yes, Russia started the war","No","","Nobody","","Republic of East Turkestan","1940","Ma Clique","1943","Nanjing Clique","1936",""
"2022/04/10 10:31:08 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","CNT-FAI","1939","GEA (with or without Vietnam)","1939","","","","","","","Yes, sided with PSA","1939","","Internationale","","Russia","1942","","","","No","1940","","","1942","Commune of France","1940","1941","1940","","Yes, was repelled","No","Socialist Republic of Italy","Chile","1940","","The Pact","The Ottoman Empire","","","","No","Armenia;Cyrenaica","Princely Federation/Hyderabad","No","No","No","No","Nobody","","Republic of East Turkestan","1938","Ma Clique","1941","Shandong Clique","1937",""
"2022/04/10 10:31:19 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","CNT-FAI","1938","Indochina","1937","","TEX","","","","1941","Yes, declared war on CSA","1939","","Reichspakt","","","","1940","","","No","1939","","","","","1939","","1939","No","Yes, successfully","Yes, was repelled","Two Sicilies","Chile","1938","","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","No","Yes, someone else started the war","No","No","Nobody","Pushed back (with or without the Fading Sun)","Republic of East Turkestan","1940","Ma Clique","1941","Shandong Clique","",""
"2022/04/10 10:31:30 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","Carlists","1940","Indochina","1938","","","PSA","","","1942","Yes, sided with PSA","1939","","Internationale","","Russia","1940","","","","No","1940","","","1942","Internationale (not France)","1939","1941","1939","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1938","Argentina","The Pact","","","The Cairo Pact","","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Tripolitania","Split between starting nations","Yes","Yes, Russia started the war","Yes, Japan started the war","No","Nobody","","Republic of East Turkestan","1943","Mongolia and Tibet","1943","Anqing Clique","1937",""
"2022/04/10 10:31:41 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","Kingdom of Spain","1941","Indochina","","","","","","PSA","1943","Yes, sided with PSA","1939","","","Reichspakt","","","","1942","1940","No","1940","","","","","1939","","1939","No","Yes, was repelled","Yes, successfully","Split between starting nations","Chile","1938","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Cyprus;Armenia;Tripolitania","Split between starting nations","No","Yes, Japan started the war","Yes, Japan started the war","No","Nobody","Pushed back (with or without the Fading Sun)","Xinjiang Clique","1937","Ma Clique","1943","Anqing Clique","1936",""
"2022/04/10 10:31:52 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1946","2022-04-10","No","","Single-player","Kingdom of Spain","1941","Indochina","1938","","","USA","","","1940","Yes, sided with USA","1939","","Reichspakt","","","","1942","","","No","","","","","","1940","","1940","No","Yes, successfully","Yes, was repelled","Split between starting nations","","","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Iraq;Kurdistan;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","No","No","No","Nobody","","Republic of East Turkestan","1939","Ma Clique","1940","Anqing Clique","1936",""
"2022/04/10 10:32:03 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1946","2022-04-10","No","","Single-player","Carlists","1942","Indochina","1937","","","","CSA","","1940","Yes, declared war on CSA","1939","","Internationale","","Russia","1941","","","","No","","","","1942","","1939","1940","1939","Yes, during or after WK2","No","Yes, was repelled","Split between starting nations","Chile","1939","","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Assyria;Cyprus;Armenia;Tripolitania","Bharatiya Commune","No","Yes, someone else started the war","Yes, Japan started the war","","Nobody","","","","Mongolia and Tibet","1941","Nanjing Clique","1936",""
"2022/04/10 10:32:13 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","CNT-FAI","1943","Indochina","1937","","","","","","","Yes, sided with PSA","1939","","Internationale","Russian Socialist Republic","","1940","","","","No","1940","","","1941","Internationale (not France)","1939","1940","","","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938","","Bulgaria","","","","","No","Assyria;Armenia","Bharatiya Commune","No","Yes, someone else started the war","No","No","Nobody","","Republic of East Turkestan","1940","","","Nanjing Clique","1936",""
"2022/04/10 10:32:24 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-04-10","No","","Single-player","Kingdom of Spain","1939","Indochina","","","","PSA","","","1943","Yes, sided with PSA","1939","","Reichspakt","","","","1941","1942","","No","1940","","","1940","","1939","","1940","No","No","No","Italian Republic/Federation","Argentina","1939","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Iraq;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","No","Yes, Japan started the war","No","Nobody","","","","Mongolia and Tibet","1942","Shandong Clique","1938",""
"2022/04/10 10:32:34 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","Carlists","1941","Indochina","1936","","","","","","","No","1939","","Reichspakt","","","","1941","1941","","No","1940","","","","","Did not join","","1944","No","Yes, successfully","Yes, successfully","Split between starting nations","Argentina","1942","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Assyria;Cyprus;Armenia;Cyrenaica","Dominion of India","No","Yes, someone else started the war","Yes, Japan started the war","No","Nobody","","Republic of East Turkestan","1940","Mongolia and Tibet","1938","Nanjing Clique","1937",""
"2022/04/10 10:32:44 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","Kingdom of Spain","1939","","","","","","","","","Yes, sided with PSA","1939","","","","Reichspakt","","","1942","","No","1940","","","","","1940","","","","Yes, was repelled","","Sardinia","Argentina","1940","","Bulgaria","","The Ottoman Empire","","","Yes, and OTT won the war","Iraq;Kurdistan;Armenia","Princely Federation/Hyderabad","No","Yes, someone else started the war","No","No","Nobody","","","","","","Nanjing Clique","1936",""
"2022/04/10 10:32:54 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","Carlists","1942","Indochina","1940","","","","","","","No","1939","","Reichspakt","","Reichspakt","","1941","","","No","1940","","","","","Did not join","","Did not join","","No","Yes, was repelled","Split between starting nations","Argentina","1941","","The Pact","The Ottoman Empire","","","","No","Kurdistan;Assyria;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Yes, someone else started the war","Yes, Japan started the war","No","Nobody","","","","Ma Clique","1941","Anqing Clique","1937",""
"2022/04/10 10:33:06 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","Carlists","1940","Indochina","1937","","","USA","","","1939","Yes, sided with USA","1939","","Internationale","","Russia","1940","","","","No","1940","","","1942","Commune of France","1939","1940","1940","Yes, during or after WK2","Yes, was repelled","No","Split between starting nations","Argentina","1940","","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Hejaz;Assyria;Cyprus;Armenia","Split between starting nations","Yes","Yes, Russia started the war","No","No","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Nanjing Clique","1936",""
"2022/04/10 10:33:17 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-04-10","No","","Single-player","Kingdom of Spain","1940","Indochina","","","","USA","","","1939","Yes, sided with USA","1939","","Internationale","","Russia","1940","","","","No","1940","","","1941","","1939","1940","Did not join","","No","Yes, was repelled","Socialist Republic of Italy","Argentina","1941","","The Pact","","","","The Cairo Pact","No","Armenia;Cyrenaica","Split between starting nations","No","Yes, Russia started the war","Yes, Japan started the war","No","Nobody","","","","Ma Clique","1940","Nanjing Clique","1936",""
"2022/04/10 10:33:28 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","CNT-FAI","","GEA (with or without Vietnam)","1938","","","","","","","Yes, declared war on CSA","1939","","Reichspakt","","Russia","1941","1942","","","No","1940","","","","","1939","1942","1939","Yes, during or after WK2","Yes, successfully","Yes, was repelled","Split between starting nations","Chile","1938","Argentina","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","No","No","No","Nobody","","Xinjiang Clique","1937","Mongolia and Tibet","1940","Anqing Clique","1937",""
"2022/04/10 10:33:39 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-04-10","No","","Single-player","CNT-FAI","1942","Indochina","1937","","TEX","","","","1939","Yes, declared war on CSA","1939","","Internationale","","Russia","","","","","No","1940","","","1942","Commune of France","1940","1941","1940","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Split between starting nations","","","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Iraq;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","Yes, Russia started the war","Yes, Japan started the war","No","Nobody","","Republic of East Turkestan","1941","Mongolia and Tibet","1942","Shandong Clique","1937",""
"2022/04/10 10:33:49 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-04-10","No","","Single-player","Carlists","1940","Indochina","1938","","","","","","","No","1939","","Reichspakt","","Reichspakt","","1945","","","No","1940","","","","","1939","","1939","No","Yes, successfully","No","Two Sicilies","Chile","1938","","The Pact","The Ottoman Empire","","","","No","Hejaz;Assyria;Cyprus;Armenia","Split between starting nations","Yes","No","No","No","Nobody","","Kumul Khanate","1937","","","Nanjing Clique","1936",""
"2022/04/10 10:33:59 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-04-10","No","","Single-player","Kingdom of Spain","1937","Indochina","","","","PSA","","","1944","Yes, sided with PSA","1939","","","","","","","","","No","1940","","","","","1943","","1941","No","Yes, was repelled","No","Split between starting nations","Chile","1939","Argentina","The Pact","","The Ottoman Empire","","","No","Iraq;Kurdistan;Armenia","Bharatiya Commune","No","Yes, someone else started the war","No","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1941","Nanjing Clique","1937",""
"2022/04/10 10:34:11 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1946","2022-04-10","No","","Single-player","Kingdom of Spain","1941","Indochina","1939","","","USA","","","","Yes, sided with USA","1939","","Reichspakt","","Russia","1940","1943","","","No","1940","","","1940","Internationale (not France)","1939","1940","1939","Yes, during or after WK2","No","No","Socialist Republic of Italy","Argentina","1941","","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","No","Yes, Russia started the war","No","No","Nobody","","Republic of East Turkestan","1937","Mongolia and Tibet","1938","Nanjing Clique","1936",""
"2022/04/10 10:34:22 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","CNT-FAI","","Indochina","1937","","","PSA","","","1944","Yes, sided with PSA","1939","","Internationale","","Russia","1940","","","","No","1940","","","1940","Internationale (not France)","1939","1940","1939","Yes, during or after WK2","No","Yes, was repelled","Socialist Republic of Italy","Argentina","1941","","The Pact","","","The Cairo Pact","","Yes, but OTT still lost the war","Iraq;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania","Bharatiya Commune","Yes","No","No","No","Nobody","Pushed back (with or without the Fading Sun)","Republic of East Turkestan","1937","Ma Clique","1939","Nanjing Clique","1937",""
"2022/04/10 10:34:33 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","Carlists","","Indochina","1936","","","","","","","Yes, sided with PSA","1939","","Internationale","","Russia","1939","","","","No","1940","","","1940","Internationale (not France)","1939","1940","","","No","Yes, was repelled","Socialist Republic of Italy","Chile","1938","","Bulgaria","The Cairo Pact","","","","Yes, but OTT still lost the war","Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","Yes, Russia started the war","Yes, Japan started the war","No","Nobody","","Republic of East Turkestan","1938","","","Anqing Clique","1936",""
"2022/04/10 10:34:44 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","CNT-FAI","1940","Indochina","","","","","","USA","1940","Yes, sided with USA","1939","","Internationale","","Russia","1940","","","","No","1940","","","1941","Internationale (not France)","1939","1940","1940","Yes, during or after WK2","No","No","Socialist Republic of Italy","Chile","1938","","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Yes, Russia started the war","Yes, Japan started the war","No","Nobody","","Xinjiang Clique","1936","Ma Clique","1940","Left Kuomintang","1937",""
"2022/04/10 10:34:55 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","Carlists","1943","Indochina","1937","","","","","PSA","1944","Yes, sided with PSA","1939","","Reichspakt","","Reichspakt","","1942","","","No","1940","","","","","1940","","1940","No","Yes, successfully","Yes, was repelled","Two Sicilies","Chile","1937","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Cyprus;Armenia;Tripolitania","Princely Federation/Hyderabad","No","No","Yes, Japan started the war","No","Nobody","","Kumul Khanate","1937","Ma Clique","1940","Left Kuomintang","1937",""
"2022/04/10 10:35:05 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-04-10","No","","Single-player","CNT-FAI","","","","","","USA","","","","No","1939","","Internationale","","Russia","1941","","","","No","Did not join","","","1941","Internationale (not France)","1940","1941","","","No","No","Socialist Republic of Italy","","","","Bulgaria","The Cairo Pact","","","","Yes, but OTT still lost the war","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Yes, someone else started the war","Yes, Japan started the war","No","Nobody","","Republic of East Turkestan","","Mongolia and Tibet","1938","Anqing Clique","1936",""
"2022/04/10 10:35:16 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","Kingdom of Spain","1939","","","","","","","USA","1940","Yes, sided with USA","1939","","Reichspakt","","Reichspakt","","1941","1941","","No","1940","","","1944","Germany/the Reichspakt","1939","","1939","No","Yes, successfully","Yes, successfully","Italian Republic/Federation","Chile","1938","","The Pact","The Ottoman Empire","","","","No","Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","Yes, someone else started the war","No","No","Nobody","","","","Mongolia and Tibet","1939","Nanjing Clique","1937",""
"2022/04/10 10:35:27 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-04-10","No","","Single-player","CNT-FAI","1940","Indochina","","","","","","CSA","1940","No","1939","","Internationale","","Russia","1941","","","","No","1940","","","1943","Internationale (not France)","1940","","1940","No","Yes, was repelled","Yes, was repelled","Split between starting nations","Chile","1938","Argentina","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Assyria;Cyprus;Armenia;Tripolitania","Princely Federation/Hyderabad","No","Yes, someone else started the war","No","No","Nobody","","Republic of East Turkestan","1938","Ma Clique","1940","Anqing Clique","1936",""
"2022/04/10 10:35:38 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","CNT-FAI","1939","Indochina","1937","","","","","USA","1943","Yes, sided with USA","1939","","Internationale","","Russia","","","","","No","1940","","","1942","Internationale (not France)","1939","1942","1939","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Split between starting nations","Chile","1938","","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Hejaz;Assyria;Cyprus;Armenia;Tripolitania","Dominion of India","Yes","No","No","No","Nobody","","","","Mongolia and Tibet","1940","Nanjing Clique","1936",""
"2022/04/10 10:35:48 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-04-10","No","","Single-player","Carlists","","Indochina","1937","","","","","","","No","1939","","","","","","","1940","","No","Did not join","","","","","1940","","1940","No","Yes, was repelled","Yes, successfully","Two Sicilies","Chile","1939","","The Pact","","The Cairo Pact","","","Yes, but OTT still lost the war","Iraq;Armenia;Cyrenaica","Princely Federation/Hyderabad","No","Yes, someone else started the war","No","No","Nobody","","","","","","Anqing Clique","1937",""
"2022/04/10 10:35:59 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-04-10","No","","Single-player","CNT-FAI","1943","Indochina","","","","USA","","","1942","Yes, sided with USA","1939","","Internationale","","Russia","1941","","","","No","1940","","","1941","","1939","1941","1939","Yes, during or after WK2","No","No","Split between starting nations","Chile","1939","","The Pact","The Cairo Pact","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","No","No","No","Nobody","","Republic of East Turkestan","1939","","","Nanjing Clique","1937",""
"2022/04/10 10:36:10 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1946","2022-04-10","No","","Single-player","Kingdom of Spain","1941","Indochina","1936","","","","","USA","1942","Yes, sided with PSA","1939","","","","Russia","1940","","","","No","1939","","","1941","Internationale (not France)","1940","1941","","","Yes, was repelled","No","Socialist Republic of Italy","Chile","1937","","Bulgaria","The Cairo Pact","","","","No","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Yes, someone else started the war","No","No","Nobody","","","","Ma Clique","1941","Nanjing Clique","1936",""
"2022/04/10 10:36:21 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","CNT-FAI","","Indochina","1937","","TEX","","","","1944","Yes, declared war on CSA","1939","","","","Reichspakt","","","1942","1944","No","1940","","","","","1939","","1939","No","Yes, was repelled","Yes, successfully","ANI Italy","","","","The Pact","","The Ottoman Empire","","","No","Iraq;Hejaz;Kurdistan;Armenia;Cyrenaica","Dominion of India","No","Yes, someone else started the war","Yes, Japan started the war","No","Nobody","","Republic of East Turkestan","1937","Mongolia and Tibet","1940","Nanjing Clique","1937",""
"2022/04/10 10:36:32 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","Kingdom of Spain","1937","Indochina","1936","","","","","CSA","","Yes, declared war on CSA","1939","","Internationale","","Russia","1941","","","","No","Did not join","","","1940","Internationale (not France)","1939","1941","","","No","No","Socialist Republic of Italy","Chile","1938","","Bulgaria","","","The Cairo Pact","","Yes, but OTT still lost the war","Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","No","Yes, Russia started the war","Yes, Japan started the war","No","Nobody","","Republic of East Turkestan","1939","","","Anqing Clique","1936",""
"2022/04/10 10:36:42 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-04-10","No","","Single-player","CNT-FAI","1939","Indochina","1937","","","USA","","","1942","Yes, sided with USA","1939","","Reichspakt","Reichspakt","","","1941","1941","1941","No","1939","","","","","Did not join","","Did not join","","Yes, successfully","Yes, successfully","Two Sicilies","","","","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Tripolitania","Dominion of India","No","Yes, Japan started the war","No","No","Nobody","Pushed back (with or without the Fading Sun)","Republic of East Turkestan","1940","Ma Clique","1940","Nanjing Clique","1936",""
"2022/04/10 10:36:53 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-04-10","No","","Single-player","Carlists","","Indochina","1938","","","USA","","","1939","Yes, sided with USA","1939","","","","Reichspakt","","","1940","","No","1940","","","","","1939","","1939","No","Yes, was repelled","Yes, successfully","Sardinia","","","","The Pact","The Cairo Pact","","","","No","Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","No","Yes, someone else started the war","Yes, Japan started the war","No","Nobody","","","","","","Left Kuomintang","1937",""
"2022/04/10 10:37:04 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-04-10","No","","Single-player","Carlists","","Indochina","1937","","","","","CSA","1940","No","1939","","Internationale","","Russia","","","","","No","1940","","","1941","Internationale (not France)","1939","1940","1939","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1942","","The Pact","","","The Cairo Pact","","No","Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","No","No","","Nobody","","","","Ma Clique","1941","Anqing Clique","1936",""
"2022/04/10 10:37:15 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1946","2022-04-10","No","","Single-player","Carlists","1942","Indochina","1937","","","USA","","","1941","No","1939","","","","","","","1941","","No","1940","","","1945","Germany/the Reichspakt","Did not join","","Did not join","","No","Yes, successfully","Two Sicilies","Argentina","1940","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Cyprus;Armenia;Tripolitania","Bharatiya Commune","No","Yes, someone else started the war","Yes, Japan started the war","No","Fengtian alone","","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Left Kuomintang","1937",""
