"Отметка времени","If you weren't on master; what branch were you on? Please use the full code name of the branch, not short hand. The 'origin/' isn't needed.","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","Was this an observer game?","If this game was NOT an observer, which nation did you play? Please use the tag of the nation in capital letters.","If you did switch to any other nation, who was it? Please use the tag of the nation in capital letters. Note this is only if you legally switched, console commands don't count here.","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","When in real life did you start this game?","Did you crash?","If you did crash...","Were you in single-player or multi-player?","Who won the Spanish Civil War? If one side is close to winning put them down.","When did the Spanish Civil War end?","Who won the Indochinese civil war? If one side is close to winning put them down.","When did the Indochinese civil war end?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","When did the 2nd Weltkrieg start?","Who won the French-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If Russia was socialist, who won the Russo-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If Russia was NOT socialist, who won the Russo-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Did National France land on the mainland?","Did Canada land on Britain?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war? If one side is close to winning put them down.","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war? If one side is close to winning put them down.","Who won the Fourth Balkan War? If one side is close to winning put them down.","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","Did the Netherlands go socialist?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?","If someone intervened in the League War, who was it?"
"2022/05/14 11:46:51 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-14","No","","Single-player","CNT-FAI","1938","Indochina","1936","","","USA","","","1941","Yes, sided with USA","Late 1940","Internationale","","Russia","1941","","","","No","1940","","","1942","Commune of France","1940","1941","1940","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1938","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Cyprus;Armenia","Dominion of India","No","1939","Did not happen","Did not happen","Did not happen","1944","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Nanjing Clique","1937",""
"2022/05/14 11:47:07 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-14","No","","Single-player","Carlists","1938","Indochina","1938","","","USA","","","1944","No","Mid 1939","Internationale","","Russia","1940","","","","No","1940","","","1942","Commune of France","1939","1940","1939","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","","","","The Pact","","","The Ottoman Empire","","Yes, and OTT won the war","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","1938","1942","Did not happen","1941","Did not happen","1938","Did not happen","1942","Yes, Russia started the war","Nobody","Could not push into China","Republic of East Turkestan","1939","Ma Clique","1941","Anqing Clique","1936",""
"2022/05/14 11:47:21 AM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-05-14","No","","Single-player","Kingdom of Spain","1943","Indochina","1939","","","","","","","No","Mid 1939","Internationale","","Russia","1941","","","","No","1940","","","1943","Internationale (not France)","1939","1941","1939","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1938","","The Pact","","","","","No","Iraq;Kurdistan;Cyprus;Armenia;Cyrenaica","Split between starting nations","No","1939","1942","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1942","Yes, Russia started the war","Nobody","Could not push into China","Republic of East Turkestan","1938","","","Nanjing Clique","1936",""
"2022/05/14 11:47:37 AM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-05-14","No","","Single-player","CNT-FAI","1938","Indochina","1937","","","","CSA","","1941","Yes, declared war on CSA","Mid 1939","Internationale","","Russia","1942","","","","Yes, during or after WK2","1940","1943","CSA","1943","Commune of France","1940","","","","Yes, was repelled","Yes, was repelled","Split between starting nations","Argentina","1941","","Bulgaria","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Assyria;Cyprus;Armenia;Tripolitania","Split between starting nations","No","1939","1942","Did not happen","1943","Did not happen","1943","1939","Did not happen","Yes, Russia started the war","Nobody","Conquered all of China","Republic of East Turkestan","1939","Mongolia and Tibet","1939","Left Kuomintang","1937",""
"2022/05/14 11:47:51 AM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-05-14","No","","Single-player","CNT-FAI","1937","Indochina","1938","","","","","CSA","1940","No","Mid 1940","Internationale","","Russia","1942","","","","No","1940","","","","","1941","1942","Did not join","","No","No","Socialist Republic of Italy","Chile","1939","","The Pact","The Ottoman Empire","","","","No","Kurdistan;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","1940","Did not happen","Did not happen","Did not happen","Did not happen","1938","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Nanjing Clique","1936",""
"2022/05/14 11:48:04 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-14","No","","Single-player","CNT-FAI","1938","Indochina","1937","","","USA","","","1940","Yes, sided with USA","Late 1940","","","","","","","","No","1940","","","","","1941","","1941","No","Yes, was repelled","Yes, was repelled","Split between starting nations","Argentina","1938","","The Pact","","","","","No","Iraq;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","1938","1940","Did not happen","Did not happen","Did not happen","1938","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","Republic of East Turkestan","1941","Mongolia and Tibet","1941","Anqing Clique","1937",""
"2022/05/14 11:48:18 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-14","No","","Single-player","Carlists","1942","Indochina","1937","","","PSA","","","1939","Yes, sided with PSA","Early 1939","","","","","","1941","","No","1940","","","","","1939","","1939","No","Yes, was repelled","Yes, successfully","Split between starting nations","Argentina","1940","","The Pact","","","","","No","Iraq;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","1939","Did not happen","Did not happen","Did not happen","1942","Did not happen","1944","Did not happen","Yes, someone else started the war","Nobody","","","","Mongolia and Tibet","1940","Left Kuomintang","1937",""
"2022/05/14 11:48:32 AM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-05-14","No","","Single-player","Carlists","1939","Indochina","1941","","","","","CSA","1939","Yes, declared war on CSA","Early 1939","Reichspakt","","","","1941","","","Yes, during or after WK2","1940","1941","CSA","","","1940","","1941","No","Yes, successfully","Yes, was repelled","Split between starting nations","Chile","1938","","The Pact","","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","1939","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","","","","","Nanjing Clique","1936",""
"2022/05/14 11:48:45 AM GMT+4","","Dev","Pelmen","Yes","","","1939","2022-05-14","No","","Single-player","CNT-FAI","1938","Indochina","1937","","","","","","","No","","","","","","","","","No","Did not join","","","","","Did not join","","Did not join","","No","No","Split between starting nations","Chile","1938","","The Pact","","","","","No","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1939","","","Shandong Clique","1937",""
"2022/05/14 11:48:59 AM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-05-14","No","","Single-player","Kingdom of Spain","1940","Indochina","1936","","","PSA","","","1942","Yes, sided with PSA","Late 1940","","","","","","1943","","No","1941","","","","","1941","","1941","No","Yes, was repelled","Yes, successfully","Socialist Republic of Italy","Chile","1938","","The Pact","The Ottoman Empire","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","1939","Did not happen","Did not happen","Did not happen","Did not happen","1939","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1941","Nanjing Clique","1936",""
"2022/05/14 11:49:13 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-14","No","","Single-player","Carlists","1941","Indochina","1936","","","","","","","No","Early 1939","Internationale","","Russia","1939","","","","No","Did not join","","","1941","Internationale (not France)","1939","1940","1939","Yes, during or after WK2","No","Yes, was repelled","Socialist Republic of Italy","Argentina","1940","","The Pact","","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania","Princely Federation/Hyderabad","No","1939","1941","Did not happen","Did not happen","Did not happen","Did not happen","1943","Did not happen","Yes, someone else started the war","Nobody","Conquered only the coastal states","Republic of East Turkestan","1939","","","Anqing Clique","1936",""
"2022/05/14 11:49:27 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-14","No","","Single-player","CNT-FAI","1937","Indochina","1936","","","USA","","","1940","Yes, sided with USA","Mid 1940","Internationale","","Russia","1943","","","","No","1940","","","","","1940","","1941","Yes, before WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1938","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Iraq;Hejaz;Cyprus;Armenia;Cyrenaica","Bharatiya Commune","No","1942","Did not happen","Did not happen","1940","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Ma Clique","1940","Anqing Clique","1936",""
"2022/05/14 11:49:41 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-14","No","","Single-player","CNT-FAI","1940","Indochina","1938","","","","","CSA","1939","Yes, declared war on CSA","Early 1940","Reichspakt","","","","1943","","","Yes, during or after WK2","1940","1943","CSA","","","1940","","1940","No","No","Yes, was repelled","Socialist Republic of Italy","Chile","1938","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","1939","1941","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","Could not push into China","","","Mongolia and Tibet","1942","Left Kuomintang","1937",""
"2022/05/14 11:49:55 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-14","No","","Single-player","Carlists","1938","Indochina","1937","","","USA","","","1941","No","Mid 1940","","","","","","1943","","No","1940","","","","","1940","","1942","No","Yes, was repelled","Yes, successfully","ANI Italy","Argentina","1938","","The Pact","","","","","No","Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","1943","1943","Did not happen","1941","1941","1940","Did not happen","1944","No","Nobody","Could not push into China","","","Ma Clique","1941","Anqing Clique","1936",""
"2022/05/17 8:24:09 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-17","No","","Single-player","Kingdom of Spain","1940","Indochina","1938","","","","","NEE","1940","Yes, declared war on CSA","","","","Reichspakt","","","1941","1944","No","1940","","","","","Did not join","","Did not join","","Yes, was repelled","Yes, successfully","Sardinia","Chile","1938","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","1940","Did not happen","Did not happen","Did not happen","1940","1941","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Republic of East Turkestan","1937","Ma Clique","1941","Nanjing Clique","1936",""
"2022/05/17 8:24:22 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-17","No","","Single-player","Carlists","1940","Indochina","1937","","","","","","","No","","","","","","","1942","","No","1940","","","","","1941","","","","Yes, was repelled","Yes, successfully","Two Sicilies","Chile","1939","","Bulgaria","","","","","No","Iraq;Kurdistan;Armenia;Cyrenaica","Princely Federation/Hyderabad","Yes","Did not happen","Did not happen","Did not happen","Did not happen","1941","Did not happen","Did not happen","Did not happen","No","Nobody","","Xinjiang Clique","1937","","","Nanjing Clique","1936",""
"2022/05/17 8:24:36 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1943","2022-05-17","No","","Single-player","Carlists","1939","Indochina","1937","","","","CSA","","1942","Yes, declared war on CSA","","Reichspakt","","","","1942","","","No","1940","","","","","1939","","1939","No","Yes, successfully","Yes, was repelled","ANI Italy","Chile","1938","","The Pact","","","","","No","Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","1939","1941","Did not happen","1940","1940","1938","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","Republic of East Turkestan","1938","Mongolia and Tibet","1941","Nanjing Clique","1937",""
"2022/05/17 8:24:49 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-17","No","","Single-player","Carlists","1943","Indochina","1937","","","","","CSA","1941","Yes, sided with PSA","","","","","","","1941","","No","1940","","","","","1940","","1940","No","Yes, was repelled","Yes, successfully","Two Sicilies","Argentina","1943","","The Pact","","The Ottoman Empire","","","Yes, and OTT won the war","Kurdistan;Armenia;Cyrenaica","Dominion of India","No","1941","Did not happen","Did not happen","1941","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","","","Mongolia and Tibet","1941","Nanjing Clique","1936",""
"2022/05/17 8:25:02 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-17","No","","Single-player","Carlists","","Indochina","1937","","","","","","","Yes, declared war on CSA","","Reichspakt","","","","1942","1942","","No","1940","","","","","1940","","","","Yes, successfully","Yes, successfully","Two Sicilies","Chile","1938","","Bulgaria","","","","","No","Kurdistan;Cyprus;Armenia;Cyrenaica","Bharatiya Commune","Yes","1939","Did not happen","1944","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","Pushed back (with or without the Fading Sun)","Republic of East Turkestan","1939","Mongolia and Tibet","1940","Shandong Clique","1937",""
"2022/05/17 8:25:16 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-17","No","","Single-player","CNT-FAI","1938","Indochina","1937","","","","","","","Yes, sided with PSA","","Internationale","","Russia","1943","","","","No","1941","","","1943","Internationale (not France)","1941","","1941","No","No","Yes, was repelled","Socialist Republic of Italy","","","Argentina","The Pact","","The Ottoman Empire","","","No","Assyria;Armenia","Bharatiya Commune","No","1939","1941","Did not happen","1940","Did not happen","Did not happen","Did not happen","1941","Yes, Russia started the war","Nobody","Could not push into China","","","","","Nanjing Clique","1937",""
"2022/05/17 8:25:30 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-17","No","","Single-player","Carlists","1941","Indochina","1936","","","","","CSA","1941","Yes, sided with PSA","","Internationale","","Russia","1941","","","","No","1939","","","","","1939","1941","1939","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Argentina","1938","","The Pact","The Ottoman Empire","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","1939","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1939","","","Nanjing Clique","1936",""
"2022/05/17 8:25:44 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-17","No","","Single-player","Kingdom of Spain","1939","","","","","USA","","","1944","No","","Reichspakt","","Russia","1940","1943","","","No","1939","","","","","1939","1940","1939","Yes, during or after WK2","Yes, successfully","Yes, was repelled","Split between starting nations","Argentina","1938","","The Pact","","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","Yes","1939","Did not happen","Did not happen","1944","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","","","Mongolia and Tibet","1940","Nanjing Clique","1936",""
"2022/05/17 8:25:57 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-17","No","","Single-player","Carlists","1944","Indochina","1938","","","USA","","","1940","No","","Reichspakt","","","","1944","","","No","Did not join","","","","","1941","","1941","No","Yes, successfully","Yes, was repelled","ANI Italy","","","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Cyprus;Armenia;Cyrenaica","Bharatiya Commune","Yes","1941","1943","Did not happen","1940","Did not happen","Did not happen","1942","Did not happen","Yes, someone else started the war","Nobody","Conquered only the coastal states","","","","","Nanjing Clique","1936",""
"2022/05/17 8:26:11 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-17","No","","Single-player","CNT-FAI","1937","Indochina","1938","","","CSA","","","1944","No","","Internationale","","Russia","1942","","","","No","Did not join","","","1943","Internationale (not France)","1940","1942","1940","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1938","","The Pact","","","","","No","Hejaz;Kurdistan;Cyprus;Armenia;Cyrenaica","Bharatiya Commune","No","1938","1943","Did not happen","","Did not happen","Did not happen","Did not happen","1943","Yes, Russia started the war","Nobody","Conquered only the coastal states","","","","","Anqing Clique","1936",""
"2022/05/17 8:26:25 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-17","No","","Single-player","Kingdom of Spain","1938","Indochina","1938","","","","","","","Yes, sided with USA","","Internationale","Russian Socialist Republic","","1943","","","","No","1940","","","1944","Internationale (not France)","1941","1943","1941","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","","","Argentina","The Pact","","The Ottoman Empire","","","No","Armenia;Cyrenaica","Split between starting nations","Yes","1940","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Republic of East Turkestan","1941","","","Nanjing Clique","1936",""
"2022/05/17 8:26:38 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1947","2022-05-17","No","","Single-player","CNT-FAI","1942","Indochina","1937","","","","","","","Yes, sided with PSA","Before 1939","Internationale","","Russia","1940","","","","No","1940","","","","","Did not join","1941","","","No","No","Socialist Republic of Italy","Argentina","1938","","Bulgaria","","","","","No","Kurdistan;Armenia;Cyrenaica","Bharatiya Commune","Yes","1938","Did not happen","Did not happen","1943","Did not happen","Did not happen","1941","1941","Yes, Russia started the war","Nobody","","Kumul Khanate","1940","Mongolia and Tibet","1938","Nanjing Clique","1936",""
"2022/05/17 8:26:51 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1943","2022-05-17","No","","Single-player","CNT-FAI","1939","Indochina","1938","","","","","","","No","","","","","","","","","No","1940","","","1940","Internationale (not France)","1941","","1941","No","No","","Split between starting nations","Argentina","1939","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","1939","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1943","Did not happen","Yes, someone else started the war","Nobody","","","","Mongolia and Tibet","1943","Anqing Clique","1936",""
"2022/05/17 8:27:05 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-17","No","","Single-player","Kingdom of Spain","1939","Indochina","1938","","","PSA","","","1943","Yes, sided with PSA","","Internationale","","Russia","1940","","","","No","1941","","","1941","Internationale (not France)","1939","1940","1939","Yes, during or after WK2","No","Yes, was repelled","Socialist Republic of Italy","Argentina","1939","","The Pact","","","","","No","Kurdistan;Cyprus;Armenia;Cyrenaica","Split between starting nations","No","1939","1943","Did not happen","Did not happen","Did not happen","1938","Did not happen","1943","Yes, Russia started the war","Nobody","Could not push into China","","","Mongolia and Tibet","1938","Nanjing Clique","1936",""
"2022/05/17 8:27:19 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-17","No","","Single-player","Kingdom of Spain","1940","Indochina","1938","","","","","","","No","","Internationale","","Russia","1943","1942","","","No","Did not join","","","","","1940","","1940","No","Yes, successfully","Yes, was repelled","Split between starting nations","Argentina","1938","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","1939","Did not happen","Did not happen","","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","","","Mongolia and Tibet","1939","Nanjing Clique","1936",""
"2022/05/17 8:27:33 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-17","No","","Single-player","CNT-FAI","1940","Indochina","1937","","","","","TEX","1940","Yes, declared war on CSA","","Reichspakt","","Reichspakt","","1942","1943","","No","1940","","","","","1940","","1940","No","Yes, successfully","Yes, successfully","Split between starting nations","Argentina","1938","","The Pact","","","","","No","Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Did not happen","Did not happen","Did not happen","Did not happen","1938","Did not happen","Did not happen","Did not happen","No","Nobody","","","","Ma Clique","1940","Anqing Clique","1936",""
"2022/05/17 8:27:48 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-17","No","","Single-player","Kingdom of Spain","1940","Indochina","1937","","","","","CSA","1941","Yes, sided with PSA","","Internationale","","Russia","1940","","","","No","1939","","","1939","Internationale (not France)","1940","1940","1940","Yes, during or after WK2","No","No","Socialist Republic of Italy","Chile","1938","Argentina","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Assyria;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","1939","Did not happen","Did not happen","Did not happen","Did not happen","Before 1938","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","","","","","Anqing Clique","1936",""
"2022/05/17 8:28:01 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-17","No","","Single-player","Kingdom of Spain","1939","Indochina","1939","","","PSA","","","1940","Yes, sided with PSA","","","","","","","1943","","No","1940","","","","","1942","","1942","No","Yes, was repelled","Yes, successfully","Sardinia","Argentina","1943","","The Pact","","The Ottoman Empire","","","Yes, and OTT won the war","Iraq;Kurdistan;Armenia;Cyrenaica","Bharatiya Commune","No","1940","1941","Did not happen","1944","Did not happen","Did not happen","1944","Did not happen","No","Nobody","Conquered only the coastal states","Republic of East Turkestan","1937","Ma Clique","1939","Nanjing Clique","1936",""
"2022/05/17 8:28:16 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-17","No","","Single-player","Kingdom of Spain","1944","Indochina","1937","","","","","TEX","1940","Yes, declared war on CSA","","Internationale","","Russia","1940","","","","Yes, during or after WK2","1940","1943","USA/TEX/PSA","1942","Internationale (not France)","1939","1940","1940","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Split between starting nations","Argentina","","","The Pact","","","","","No","Kurdistan;Cyprus;Armenia;Cyrenaica","Princely Federation/Hyderabad","Yes","1938","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Republic of East Turkestan","1940","","","Nanjing Clique","1936",""
"2022/05/17 8:28:29 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1943","2022-05-17","No","","Single-player","CNT-FAI","1938","Indochina","1941","","","USA","","","1941","Yes, sided with USA","","","","","","","","","No","Did not join","","","1940","","1941","","1941","","Yes, was repelled","No","Socialist Republic of Italy","Peaceful Reunification","","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Assyria;Armenia;Cyrenaica","Bharatiya Commune","No","1942","1942","Did not happen","1940","Did not happen","1938","Did not happen","Did not happen","Yes, someone else started the war","Nobody","Conquered only the coastal states","","","Mongolia and Tibet","1938","Nanjing Clique","1936",""
"2022/05/17 8:28:43 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1946","2022-05-17","No","","Single-player","Kingdom of Spain","1942","","","","","USA","","","1941","Yes, sided with PSA","","Internationale","","Russia","1942","","","","No","1940","","","","","1939","1941","1939","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Split between starting nations","Argentina","1939","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Assyria;Cyprus;Armenia","Princely Federation/Hyderabad","No","1939","Did not happen","","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, Russia started the war","Nobody","","Republic of East Turkestan","1943","Mongolia and Tibet","1939","Anqing Clique","1936",""
"2022/05/17 8:28:56 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1942","2022-05-17","No","","Single-player","CNT-FAI","1939","Indochina","1938","","","","","","","Yes, sided with USA","","","","","","","","","No","1940","","","","","1941","","1941","No","No","No","Split between starting nations","Chile","1938","","The Pact","","","","","No","Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1939","Did not happen","No","Nobody","","Republic of East Turkestan","1940","Ma Clique","1940","Anqing Clique","1937",""
"2022/05/17 8:29:10 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-17","No","","Single-player","Carlists","1938","Indochina","1939","","","PSA","","","1942","Yes, sided with PSA","","Internationale","","Russia","1940","","","","No","1940","","","1941","Commune of France","1939","1940","1939","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Argentina","1944","","The Pact","","","","","No","Kurdistan;Armenia","Bharatiya Commune","No","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1943","Did not happen","Yes, someone else started the war","Right-KMT","","Republic of East Turkestan","1941","","","Nanjing Clique","1936",""
"2022/05/17 8:29:24 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-17","No","","Single-player","Kingdom of Spain","1942","Indochina","1938","","","PSA","","","1941","No","","","","","","","1942","","No","1940","","","","","1939","1943","1940","Yes, during or after WK2","Yes, was repelled","Yes, successfully","Split between starting nations","Argentina","1938","","The Pact","The Ottoman Empire","","","","No","Iraq;Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","1939","Did not happen","Did not happen","1939","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Republic of East Turkestan","","Mongolia and Tibet","1938","Nanjing Clique","1936",""
