"Отметка времени","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","When in real life did you start this game?","Who won the Spanish Civil War?","When did the Spanish Civil War end?","Who won the Indochinese War?","When did the Indochinese civil war end?","Who won the American Civil War?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","When did the 2nd Weltkrieg start?","When did the 2nd Weltkrieg end?","Who won the Franco-German part of the 2nd Weltkrieg?","Who won the Russo-German part of the 2nd Weltkrieg?","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Did National France land on the mainland?","Did Canada land on Britain?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war?","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war?","Who won the Fourth Balkan War? If one side is close to winning put them down.","When did the Fourth Balkan War end?","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert?","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","When did the War in the Desert end?","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","Did the Netherlands go socialist?","Which faction did Greece join?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?"
"2022/09/14 3:32:53 AM GMT+4","Dev","The Alpha Dog","1945","2022-09-13","CNT-FAI","1937, quarter 3","GEA (with or without Vietnam)","1936, quarter 4","TEX","","","","TEX","","1941, quarter 4","No","Late 1940","Did not end","Nobody","Reichspakt","","","","1943, quarter 3","No","1940, quarter 4","","","","","1941, quarter 2","","1941, quarter 3","No","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Argentina","1938, quarter 4","Did not happen","The Pact","1937, quarter 2","","The Ottoman Empire","","","1944, quarter 1","No","Iraq;Armenia;Cyrenaica","Split between starting nations","No","Belgrade Pact","1938, quarter 4","1942","Did not happen","Did not happen","Did not happen","Did not happen","1943","Did not happen","No","Nobody","Could not push into China","Nobody","Did not end","Mongolia and Tibet","1939","Anqing Clique","Quarter 3, 1937"
"2022/09/14 3:33:06 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","CNT-FAI","1938, quarter 2","Indochina","1939, quarter 1","CSA","","CSA","","","","1941, quarter 2","Yes, declared war on CSA","Early 1940","1941, quarter 4","Internationale","Russia","1941, quarter 4","","","","No","Did not join","","","1939, quarter 3","Someone else","1940, quarter 2","1942, quarter 1","","","No","No","Socialist Republic of Italy","Argentina","1939, quarter 2","Brazil","Bulgaria","1938, quarter 3","The Ottoman Empire","","","Nobody","1942, quarter 2","No","Iraq;Kurdistan;Armenia;Cyrenaica","Princely Federation/Hyderabad","No","Third Internationale","1940, quarter 1","1943","Did not happen","1943","Did not happen","Did not happen","1944","Did not happen","No","Nobody","Conquered only the coastal states","Nobody","Did not end","Mongolia and Tibet","1940","Left Kuomintang","Quarter 1, 1937"
"2022/09/14 3:33:20 AM GMT+4","Dev","The Alpha Dog","1943","2022-09-13","CNT-FAI","1937, quarter 4","GEA (with or without Vietnam)","1938, quarter 1","PSA","","","","","PSA","1941, quarter 2","No","Early 1939","1941, quarter 4","Reichspakt","Reichspakt","","1941, quarter 4","","","No","1940, quarter 1","","","","","1939, quarter 2","","","","Yes, successfully","Yes, was repelled","Italian Republic/Federation","Chile","1938, quarter 1","Brazil","Bulgaria","1938, quarter 3","","The Ottoman Empire","","","1942, quarter 1","No","Iraq;Assyria;Armenia;Cyrenaica","Bharatiya Commune","Yes","Third Internationale","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936"
"2022/09/14 3:33:34 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","CNT-FAI","1937, quarter 3","GEA (with or without Vietnam)","1937, quarter 1","CSA","","","","CSA","","1941, quarter 3","Yes, sided with USA","Late 1939","1941, quarter 3","Internationale","Russia","1941, quarter 3","","","","Yes, before WK2","Did not join","1942, quarter 3","CSA","1939, quarter 4","Internationale (not France)","1939, quarter 4","1941, quarter 3","1940, quarter 1","Yes, during or after WK2","No","No","Socialist Republic of Italy","Argentina","1939, quarter 2","Did not happen","The Pact","1938, quarter 2","","","","The Cairo Pact","1943, quarter 2","No","Kurdistan;Armenia","Princely Federation/Hyderabad","Yes","Reichspakt","1939, quarter 4","1940","Did not happen","Did not happen","Did not happen","1942","1942","Did not happen","Started by Transamur","Nobody","Conquered all but the interior (Sichuan, Yunnan, Shanxi)","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Left Kuomintang","Quarter 1, 1937"
"2022/09/14 3:33:47 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","Kingdom of Spain","1939, quarter 3","GEA (with or without Vietnam)","1938, quarter 1","CSA","","CSA","","","","1943, quarter 1","No","Early 1939","1941, quarter 3","Internationale","Russia","1941, quarter 3","","","","No","Did not join","","","1943, quarter 3","Internationale (not France)","1940, quarter 2","1941, quarter 4","1940, quarter 3","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1939, quarter 2","Did not happen","The Pact","1937, quarter 2","The Ottoman Empire","","","","1941, quarter 4","No","Kurdistan;Cyprus;Armenia;Cyrenaica","Princely Federation/Hyderabad","No","Moscow Accord","1938, quarter 3","Did not happen","Did not happen","1943","1943","Did not happen","Did not happen","Did not happen","No","Nobody","","Xinjiang Clique","1936","Ma Clique","1943","Nanjing Clique","Quarter 4, 1936"
"2022/09/14 3:34:01 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","Carlists","1937, quarter 3","GEA (with or without Vietnam)","1937, quarter 1","Nobody","","","","","Nobody","Did not end","No","Early 1940","1941, quarter 3","Internationale","Russia","1941, quarter 3","","","","No","1940, quarter 3","","","1942, quarter 1","Internationale (not France)","1940, quarter 2","1941, quarter 3","1940, quarter 3","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1938, quarter 4","Did not happen","The Pact","1938, quarter 1","Nobody","","","","Did not end","Yes, and the war did not end","Iraq;Hejaz;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","Third Internationale","1938, quarter 2","1941","Did not happen","1944","1943","1944","Did not happen","Did not happen","No","Nobody","Conquered all of China","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Nanjing Clique","Quarter 1, 1937"
"2022/09/14 3:34:15 AM GMT+4","Dev","The Alpha Dog","1941","2022-09-13","CNT-FAI","1938, quarter 1","Nobody","Did not end","Nobody","","","","","Nobody","Did not end","No","Early 1939","1940, quarter 1","Internationale","Russia","1940, quarter 1","","","","No","1940, quarter 1","","","","","1939, quarter 3","1940, quarter 3","1939, quarter 3","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Argentina","1938, quarter 2","Did not happen","The Pact","1937, quarter 2","","Nobody","","","Did not end","Yes, and the war did not end","Iraq;Assyria;Armenia;Cyrenaica","Split between starting nations","Yes","Moscow Accord","Did not happen","Did not happen","Did not happen","Did not happen","1941","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936"
"2022/09/14 3:34:29 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","CNT-FAI","1938, quarter 1","GEA (with or without Vietnam)","1937, quarter 1","TEX","","","","","TEX","1942, quarter 1","Yes, declared war on CSA","Early 1940","1941, quarter 1","Internationale","Russia","1941, quarter 1","","","","No","1940, quarter 2","","","1942, quarter 4","Someone else","1940, quarter 2","","1940, quarter 2","No","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1938, quarter 2","Argentina","The Pact","1937, quarter 2","The Ottoman Empire","","","","1943, quarter 4","Yes, and OTT won the war","Iraq;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Moscow Accord","1939, quarter 2","Did not happen","Did not happen","Did not happen","1942","1941","1941","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Shandong Clique","Quarter 1, 1937"
"2022/09/14 3:34:42 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","Carlists","1937, quarter 3","GEA (with or without Vietnam)","1937, quarter 3","TEX","","","","TEX","","1942, quarter 4","No","Late 1940","1941, quarter 3","Internationale","Russia","1941, quarter 3","","","","No","1941, quarter 1","","","","","1940, quarter 4","1942, quarter 1","1941, quarter 1","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1939, quarter 4","Did not happen","The Pact","1938, quarter 3","The Cairo Pact","","","","1939, quarter 2","No","Kurdistan;Cyprus;Armenia;Tripolitania","Bharatiya Commune","Yes","Reichspakt","1938, quarter 3","1941","Did not happen","1941","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","Nobody","Did not end","Mongolia and Tibet","1938","Left Kuomintang","Quarter 1, 1937"
"2022/09/14 3:41:08 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","Carlists","1937, quarter 3","GEA (with or without Vietnam)","1937, quarter 3","TEX","","","","TEX","","1942, quarter 4","No","Late 1940","1941, quarter 3","Internationale","Russia","1941, quarter 3","","","","No","1941, quarter 1","","","","","1940, quarter 4","1942, quarter 1","1941, quarter 1","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1939, quarter 4","Did not happen","The Pact","1938, quarter 3","The Cairo Pact","","","","1939, quarter 2","No","Kurdistan;Cyprus;Armenia;Tripolitania","Bharatiya Commune","Yes","Reichspakt","1938, quarter 3","1941","Did not happen","1941","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","Nobody","Did not end","Mongolia and Tibet","1938","Left Kuomintang","Quarter 1, 1937"
"2022/09/14 3:41:22 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","CNT-FAI","1937, quarter 2","Indochina","1941, quarter 1","CSA","","","","","CSA","1940, quarter 3","Yes, declared war on CSA","Early 1940","1941, quarter 4","Internationale","Russia","1941, quarter 4","","","","No","1940, quarter 2","","","1942, quarter 4","Commune of France","1940, quarter 2","1942, quarter 2","1940, quarter 2","Yes, during or after WK2","No","No","Socialist Republic of Italy","Chile","1938, quarter 2","Argentina","The Pact","1937, quarter 1","The Ottoman Empire","","","","1939, quarter 4","No","Hejaz;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Belgrade Pact","1938, quarter 3","Did not happen","Did not happen","Did not happen","Did not happen","1938","Did not happen","Did not happen","No","Nobody","","Kumul Khanate","1942","Mongolia and Tibet","1939","Left Kuomintang","Quarter 1, 1937"
"2022/09/14 3:41:35 AM GMT+4","Dev","The Alpha Dog","1941","2022-09-13","CNT-FAI","1937, quarter 2","Nobody","Did not end","Nobody","","","","","Nobody","Did not end","Yes, sided with NEE","Early 1940","Did not end","Nobody","Nobody","","","","","No","1940, quarter 2","","","","","1940, quarter 3","","1940, quarter 4","No","No","No","Split between starting nations","Argentina","1940, quarter 2","Did not happen","The Pact","1937, quarter 2","Nobody","","","","Did not end","No","Kurdistan;Assyria;Cyprus;Armenia;Cyrenaica","Split between starting nations","No","Belgrade Pact","1938, quarter 2","1941","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","Conquered only the coastal states","Republic of East Turkestan","1939","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936"
"2022/09/14 3:41:49 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","CNT-FAI","1937, quarter 4","Nobody","Did not end","CSA","","","","","CSA","1941, quarter 4","Yes, sided with NEE","Early 1939","1939, quarter 4","Internationale","Russia","1939, quarter 4","","","","Yes, during or after WK2","1940, quarter 1","1942, quarter 3","Internationale","1941, quarter 4","Commune of France","1939, quarter 2","","1939, quarter 3","No","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1940, quarter 4","Argentina","The Pact","1937, quarter 3","","Nobody","","","Did not end","Yes, and the war did not end","Iraq;Assyria;Armenia","Split between starting nations","Yes","Moscow Accord","1938, quarter 4","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1943","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Ma Clique","1942","Left Kuomintang","Quarter 1, 1937"
"2022/09/14 3:42:03 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","CNT-FAI","1937, quarter 3","Indochina","1940, quarter 3","Nobody","","","","","Nobody","Did not end","Yes, sided with NEE","Early 1940","1942, quarter 4","Internationale","Socialist Russia","1942, quarter 4","","","","No","1940, quarter 3","","","1943, quarter 3","Someone else","1941, quarter 2","1943, quarter 1","1941, quarter 3","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","ANI Italy","Chile","1938, quarter 2","Did not happen","The Pact","1937, quarter 3","The Ottoman Empire","","","","1942, quarter 4","No","Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Belgrade Pact","1939, quarter 3","Did not happen","Did not happen","Did not happen","Did not happen","1941","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1941","Nobody","Did not end","Nanjing Clique","Quarter 4, 1936"
"2022/09/14 3:42:17 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","CNT-FAI","1937, quarter 2","Indochina","1940, quarter 1","PSA","","","","PSA","","1941, quarter 4","Yes, declared war on CSA","Early 1940","Did not end","Nobody","Reichspakt","","","","1942, quarter 3","No","1940, quarter 3","","","","","1940, quarter 2","","","","No","No","Socialist Republic of Italy","Chile","1938, quarter 1","Brazil","Bulgaria","1938, quarter 3","The Ottoman Empire","","","","1940, quarter 1","No","Iraq;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Moscow Accord","1938, quarter 3","Did not happen","Did not happen","Did not happen","Did not happen","1940","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1941","Mongolia and Tibet","1938","Nanjing Clique","Quarter 3, 1936"
"2022/09/14 3:42:30 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","Kingdom of Spain","1938, quarter 4","GEA (with or without Vietnam)","1938, quarter 3","CSA","","","","","CSA","1942, quarter 4","No","Early 1939","1940, quarter 3","Internationale","Russia","1940, quarter 3","","","","Yes, during or after WK2","1940, quarter 1","1942, quarter 3","Internationale","1942, quarter 2","Internationale (not France)","1939, quarter 2","1940, quarter 4","1939, quarter 2","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938, quarter 3","Argentina","The Pact","1937, quarter 2","","","The Cairo Pact","","1941, quarter 2","No","Kurdistan;Assyria;Cyprus;Armenia;Cyrenaica","Bharatiya Commune","No","Moscow Accord","1938, quarter 2","1942","","Did not happen","Did not happen","Did not happen","Did not happen","1942","Started by Russia","Nobody","Conquered only the coastal states","Nobody","Did not end","Mongolia and Tibet","1939","Left Kuomintang","Quarter 1, 1937"
"2022/09/14 3:43:42 AM GMT+4","Dev","The Alpha Dog","1943","2022-09-13","Carlists","1938, quarter 1","Nobody","Did not end","CSA","","","","CSA","","1941, quarter 2","Yes, sided with USA","Early 1939","1941, quarter 3","Reichspakt","Reichspakt","","1941, quarter 3","","","Yes, during or after WK2","1940, quarter 1","1942, quarter 2","CSA","","","1940, quarter 3","","Did not join","","No","No","Italian Republic/Federation","Argentina","1938, quarter 3","Did not happen","The Pact","1937, quarter 3","","The Ottoman Empire","","","1942, quarter 4","No","Kurdistan;Armenia;Cyrenaica","Princely Federation/Hyderabad","No","Moscow Accord","1938, quarter 2","Did not happen","Did not happen","1941","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Mongolia and Tibet","1940","Nanjing Clique","Quarter 4, 1936"
"2022/09/14 3:43:56 AM GMT+4","Dev","The Alpha Dog","1946","2022-09-13","Kingdom of Spain","1938, quarter 4","GEA (with or without Vietnam)","1939, quarter 2","USA","","USA","","","","1941, quarter 2","Yes, declared war on CSA","Mid 1940","1942, quarter 3","Internationale","Russia","1942, quarter 3","","","","No","1940, quarter 3","","","1944, quarter 3","Internationale (not France)","1940, quarter 4","1942, quarter 4","1940, quarter 4","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1938, quarter 1","Did not happen","The Pact","1937, quarter 1","The Cairo Pact","","","","1945, quarter 2","No","Assyria;Cyprus;Armenia;Cyrenaica","Princely Federation/Hyderabad","No","Donau-Adriabund","1939, quarter 3","1944","Did not happen","1944","Did not happen","Did not happen","1942","Did not happen","No","Fengtian alone","Conquered all of China","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Left Kuomintang","Quarter 4, 1936"
"2022/09/14 3:44:10 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","CNT-FAI","1937, quarter 4","Nobody","Did not end","PSA","","","","","PSA","1943, quarter 4","Yes, sided with NEE","Mid 1940","1941, quarter 1","Internationale","Russia","1941, quarter 1","","","","Yes, during or after WK2","1940, quarter 3","1943, quarter 4","USA/TEX/PSA","1942, quarter 2","Commune of France","1940, quarter 2","1941, quarter 1","1940, quarter 3","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938, quarter 3","Did not happen","The Pact","1937, quarter 2","","The Cairo Pact","","","1942, quarter 1","Yes, but OTT still lost the war","Assyria;Armenia;Cyrenaica","Split between starting nations","No","Moscow Accord","1939, quarter 1","Did not happen","Did not happen","Did not happen","Did not happen","1938","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1937","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936"
"2022/09/14 3:44:23 AM GMT+4","Dev","The Alpha Dog","1945","2022-09-13","CNT-FAI","1937, quarter 3","Indochina","1938, quarter 1","PSA","","","PSA","","","1942, quarter 4","No","Early 1940","1942, quarter 1","Internationale","","1942, quarter 1","","","","No","1940, quarter 2","","","1943, quarter 2","Commune of France","1940, quarter 2","","","","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1939, quarter 2","Argentina","Bulgaria","1938, quarter 3","The Cairo Pact","","Nobody","","1941, quarter 4","No","Kurdistan;Assyria;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","Moscow Accord","1940, quarter 2","1941","Did not happen","Did not happen","Did not happen","Did not happen","1943","Did not happen","Started by Russia","Nobody","Conquered only the coastal states","Xinjiang Clique","1936","Ma Clique","1940","Left Kuomintang","Quarter 1, 1937"
"2022/09/14 3:44:36 AM GMT+4","Dev","The Alpha Dog","1946","2022-09-13","CNT-FAI","1937, quarter 4","Indochina","1939, quarter 2","CSA","","","CSA","","","1943, quarter 2","Yes, sided with USA","Mid 1940","1941, quarter 2","Internationale","Russia","1941, quarter 2","","","","No","Did not join","","","1941, quarter 4","Internationale (not France)","1940, quarter 2","1941, quarter 3","","","No","No","Socialist Republic of Italy","Chile","1940, quarter 2","Argentina","Bulgaria","1938, quarter 3","The Ottoman Empire","","Nobody","","1939, quarter 3","No","Iraq;Armenia","Split between starting nations","Yes","Moscow Accord","1939, quarter 1","1943","Did not happen","Did not happen","1942","Did not happen","1942","1943","Started by Russia","Nobody","Could not push into China","Nobody","Did not end","Mongolia and Tibet","1940","Anqing Clique","Quarter 4, 1936"
"2022/09/14 3:44:50 AM GMT+4","Dev","The Alpha Dog","1945","2022-09-13","Kingdom of Spain","1938, quarter 4","Nobody","Did not end","PSA","","","PSA","","","1941, quarter 4","No","Early 1939","1940, quarter 1","Internationale","Russia","1940, quarter 1","","","","No","1940, quarter 1","","","1941, quarter 4","Commune of France","1939, quarter 2","","1939, quarter 2","No","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1938, quarter 4","Did not happen","The Pact","1937, quarter 1","","The Cairo Pact","","","1942, quarter 3","Yes, but OTT still lost the war","Iraq;Assyria;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","Moscow Accord","1938, quarter 3","1944","Did not happen","Did not happen","Did not happen","1940","Did not happen","Did not happen","Started by Transamur","Nobody","Conquered only the coastal states","Republic of East Turkestan","1941","Mongolia and Tibet","1938","Left Kuomintang","Quarter 4, 1936"
"2022/09/14 3:45:05 AM GMT+4","Dev","The Alpha Dog","1945","2022-09-13","CNT-FAI","1937, quarter 3","GEA (with or without Vietnam)","1937, quarter 3","CSA","","","","","CSA","1945, quarter 1","Yes, declared war on CSA","Early 1940","1941, quarter 3","Internationale","Russia","1941, quarter 3","","","","Yes, during or after WK2","1940, quarter 4","1945, quarter 2","Internationale","1942, quarter 2","Internationale (not France)","1940, quarter 2","1941, quarter 3","1940, quarter 3","Yes, during or after WK2","No","Yes, was repelled","Socialist Republic of Italy","Chile","1938, quarter 1","Did not happen","The Pact","1937, quarter 2","The Cairo Pact","","","","1943, quarter 4","No","Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania","Princely Federation/Hyderabad","Yes","Third Internationale","1938, quarter 4","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1942","Mongolia and Tibet","1945","Nanjing Clique","Quarter 1, 1937"
"2022/09/14 3:45:18 AM GMT+4","Dev","The Alpha Dog","1945","2022-09-13","CNT-FAI","1937, quarter 4","GEA (with or without Vietnam)","1937, quarter 1","CSA","","","CSA","","","1942, quarter 4","No","Early 1939","1940, quarter 3","Internationale","Russia","1940, quarter 3","","","","Yes, during or after WK2","1940, quarter 1","1943, quarter 3","Internationale","1943, quarter 2","Commune of France","1939, quarter 2","1940, quarter 4","","","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938, quarter 2","Did not happen","Bulgaria","1938, quarter 4","The Ottoman Empire","","","","1944, quarter 2","No","Kurdistan;Assyria;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","Third Internationale","1942, quarter 2","Did not happen","Did not happen","1944","Did not happen","Did not happen","1943","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Left Kuomintang","Quarter 1, 1937"
"2022/09/14 3:46:24 AM GMT+4","Dev","The Alpha Dog","1943","2022-09-13","Kingdom of Spain","1938, quarter 4","Indochina","1940, quarter 4","Nobody","","","","","Nobody","Did not end","No","Late 1940","1943, quarter 1","Reichspakt","Reichspakt","","1943, quarter 1","","","No","1940, quarter 4","","","","","1940, quarter 4","","","","Yes, successfully","No","Socialist Republic of Italy","Chile","1938, quarter 2","Did not happen","Bulgaria","1937, quarter 4","","Nobody","","","Did not end","No","Iraq;Armenia","Split between starting nations","Yes","Third Internationale","1939, quarter 3","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1943","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Mongolia and Tibet","1939","Left Kuomintang","Quarter 3, 1936"
"2022/09/14 3:46:37 AM GMT+4","Dev","The Alpha Dog","1945","2022-09-13","CNT-FAI","1937, quarter 4","Nobody","Did not end","CSA","","","","CSA","","1944, quarter 2","Yes, sided with NEE","Early 1940","1941, quarter 3","Internationale","Russia","1941, quarter 3","","","","No","1940, quarter 2","","","1942, quarter 2","Commune of France","1940, quarter 2","","1940, quarter 3","No","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1941, quarter 4","Did not happen","The Pact","1937, quarter 2","","The Ottoman Empire","","","1942, quarter 2","No","Armenia;Cyrenaica","Bharatiya Commune","Yes","Moscow Accord","Did not happen","Did not happen","Did not happen","Did not happen","1943","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1937","Mongolia and Tibet","1938","Anqing Clique","Quarter 3, 1936"
"2022/09/14 3:46:50 AM GMT+4","Dev","The Alpha Dog","1945","2022-09-13","CNT-FAI","1937, quarter 4","GEA (with or without Vietnam)","1937, quarter 1","Nobody","","","Nobody","","","Did not end","No","Early 1940","1942, quarter 4","Internationale","Russia","1942, quarter 4","","","","No","1940, quarter 2","","","1945, quarter 1","Commune of France","1940, quarter 2","","1940, quarter 4","Yes, before WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1938, quarter 1","Did not happen","The Pact","1937, quarter 3","Nobody","","","","Did not end","Yes, and the war did not end","Kurdistan;Assyria;Armenia;Tripolitania","Bharatiya Commune","Yes","Reichspakt","1942, quarter 4","Did not happen","Did not happen","1940","Did not happen","Before 1938","Did not happen","Did not happen","Started by Russia","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Left Kuomintang","Quarter 1, 1937"
"2022/09/14 3:47:03 AM GMT+4","Dev","The Alpha Dog","1940","2022-09-13","CNT-FAI","1937, quarter 3","Nobody","Did not end","USA","USA","","","","","1938, quarter 4","No","Early 1940","Did not end","Nobody","Nobody","","","","","No","1940, quarter 2","","","","","1940, quarter 2","","1940, quarter 1","No","No","No","Split between starting nations","Chile","1938, quarter 1","Did not happen","The Pact","1937, quarter 3","","Nobody","","","Did not end","No","Kurdistan;Armenia;Cyrenaica","Split between starting nations","No","Third Internationale","1939, quarter 4","Did not happen","Did not happen","Did not happen","Did not happen","1938","1940","Did not happen","No","Nobody","","Republic of East Turkestan","1939","Nobody","Did not end","Left Kuomintang","Quarter 1, 1937"
"2022/09/14 3:47:39 AM GMT+4","Dev","The Alpha Dog","1945","2022-09-13","CNT-FAI","1938, quarter 2","Nobody","Did not end","PSA","","","","","PSA","1941, quarter 2","Yes, declared war on CSA","Mid 1940","1941, quarter 1","Internationale","Russia","1941, quarter 1","","","","No","1941, quarter 1","","","1941, quarter 3","Commune of France","1940, quarter 3","1940, quarter 4","1940, quarter 3","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938, quarter 2","Did not happen","The Pact","1937, quarter 3","","","The Cairo Pact","","1941, quarter 3","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","Moscow Accord","1938, quarter 2","Did not happen","Did not happen","Did not happen","1942","Did not happen","1944","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Anqing Clique","Quarter 1, 1937"
