"Метка часу","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","Who won the Spanish Civil War?","When did the Spanish Civil War end?","Who won the Indochinese War?","When did the Indochinese civil war end?","Who won the American Civil War?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","Who won the 3rd Boer War","When did the 2nd Weltkrieg start?","When did the 2nd Weltkrieg end?","Who won the Franco-German part of the 2nd Weltkrieg?","Who won the Russo-German part of the 2nd Weltkrieg?","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","What tags revolted from National France over the course of the game? Check all that apply","Did National France land on the mainland?","Did Canada land on Britain?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war?","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war?","What path did Austria choose during Ausgleich?","Who won the Fourth Balkan War? If one side is close to winning put them down.","When did the Fourth Balkan War end?","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert?","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","When did the War in the Desert end?","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","What path did Russia take?","Who won the RCW?","When did the RCW end?","Who won the Battle for Shanxi?","What was SHX foreign policy towards QIE?","Did Shanxi make it to Contender stage?","As of 1.1.1939, what is the current ruling government of Poland?","If Poland revolted, which side rebelled?","Did the Netherlands go socialist?","Which faction did Greece join?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When did German-Japanese war start?","Who won German-Japanese war?","If GEA lost in GEA-JAP war, when did it fall?","If JAP lost in GEA-JAP war, when did it fall?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?","Did the GXC civil war happen?","Who won the GXC civil war?","When did the GXC civil war end?"
"2023/06/09 7:02:08 PM GMT+4","None of the above","Remington","1945","CNT-FAI","1938, quarter 1","Indochina","1938, quarter 3","NEE","","","","","NEE","1943, quarter 1","Sided with NEE","South Africa","Mid 1940","Did not end","Nobody","Nobody","","","","","No","1940, quarter 4","","","","","MLI;NGR;CHA","Yes, was repelled","No","1940, quarter 3","","1940, quarter 3","No","Split between starting nations","Argentina","1939, quarter 3","Did not happen","Pluralism","The Pact","1937, quarter 4","The Cairo Pact","","","","1940, quarter 3","No","Hejaz;Kurdistan;Assyria;Armenia;Cyrenaica","Dominion of India","Denikin (Dictator)","","","Yan Xishan","Recognize the Central Government","No","Social Liberal/Social Democrat","Socialists","Yes","Third Internationale","1937, quarter 4","1941","Did not happen","1940, quarter 3","Nobody","","","Did not happen","1939","Did not happen","1940","1940","No","Nobody","Could not push into China","Xinjiang Clique","1937","Mongolia and Tibet","1937","Nanjing Clique","Quarter 1, 1937","Yes","Chen Jiongming","1937, quarter 4"
"2023/06/09 7:02:30 PM GMT+4","None of the above","Remington","1946","Carlists","1938, quarter 3","GEA (with or without Vietnam)","1937, quarter 1","CSA","","","","CSA","","1941, quarter 4","Sided with NEE","","Mid 1940","1942, quarter 3","Reichspakt","Reichspakt","","1942, quarter 3","1944, quarter 1","","Yes, before WK2","Did not join","1942, quarter 2","CSA","","","TUN;NGR;CHA","Yes, successfully","No","1941, quarter 2","","1941, quarter 2","No","Two Sicilies","Argentina","1938, quarter 3","Did not happen","Pluralism","The Pact","1937, quarter 3","The Cairo Pact","","","","1939, quarter 3","Yes, but OTT still lost the war","Kurdistan;Armenia;Cyrenaica","Dominion of India","Dmitry Romanov (Tsar)","","","Yan Xishan","Recognize the Central Government","No","Market Liberal","Poland did not rebel","No","Reichspakt","1938, quarter 2","1940","Did not happen","1940, quarter 3","Nobody","","","Did not happen","Did not happen","Did not happen","Did not happen","1941","No","Zhili Qing","Could not push into China","Nobody","Did not end","Nobody","Did not end","Nanjing Clique","Quarter 4, 1936","Yes","Ma Ji","1937, quarter 2"
"2023/06/09 7:02:51 PM GMT+4","None of the above","Remington","1946","CNT-FAI","1939, quarter 3","Did not happen","","USA","","","USA","","","1939, quarter 3","No","White peace","Early 1940","1943, quarter 2","Reichspakt","Nobody","","1943, quarter 2","","","No","1940, quarter 2","","","","","NGR;CHA","Yes, successfully","No","Did not join","","Did not join","","Socialist Republic of Italy, with INT aid","Argentina","1939, quarter 1","Did not happen","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1940, quarter 2","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia","Dominion of India","Wrangel (Tsar)","","","Yan Xishan","Recognize the Central Government","No","Market Liberal","Poland did not rebel","Yes","Moscow Accord","1938, quarter 2","Did not happen","Did not happen","1940, quarter 2","JAP","1941, quarter 4","","Did not happen","Did not happen","1945","Did not happen","Did not happen","No","Nobody","","Xinjiang Clique","1937","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936","Avoided - Li Zongren","",""
"2023/06/09 7:03:12 PM GMT+4","None of the above","Remington","1946","Kingdom of Spain","1938, quarter 4","Did not happen","","CSA","","","CSA","","","1941, quarter 3","Attacked CSA","","Early 1940","Did not end","Nobody","Nobody","","","","","Yes, before WK2","1946, quarter 1","1942, quarter 2","CSA","","","","No","No","1940, quarter 3","","1940, quarter 3","No","Socialist Republic of Italy, on its own","Chile","1938, quarter 2","Did not happen","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 3","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Cyrenaica","Dominion of India","","","","Feng Yuxiang (mission timeout)","Did not decide a foreign policy","No","Authoritarian Democrat","Socialists","Yes","Moscow Accord","1938, quarter 2","1941","Did not happen","1940, quarter 2","Nobody","","","Did not happen","Did not happen","Did not happen","1938","1939","No","Nobody","Could not push into China","Nobody","Did not end","Mongolia and Tibet","1939","Nobody","Did not end","Avoided - Chen Mingshu","",""
"2023/06/09 7:03:35 PM GMT+4","None of the above","Remington","1947","Carlists","1938, quarter 1","GEA (with or without Vietnam)","1940, quarter 1","CSA","CSA","","","","","1939, quarter 1","Sided with NEE","","Late 1940","1945, quarter 3","Internationale","Socialist Russia","1945, quarter 3","1944, quarter 2","","","Yes, during or after WK2","1941, quarter 1","1943, quarter 1","CSA","1944, quarter 4","Someone else","MLI;NGR;CHA;VOL","Yes, successfully","No","Did not join","","Did not join","","Italian Republic/Federation","Chile","1938, quarter 2","Brazil","Pluralism","The Pact","1937, quarter 2","","The Cairo Pact","","","1940, quarter 3","Yes, but OTT still lost the war","Kurdistan;Armenia;Cyrenaica","Dominion of India","Socialist Revolt","Socialist Russia","1937, quarter 3","Yan Xishan","Recognize the Central Government","No","Authoritarian Democrat","Poland did not rebel","No","Belgrade Pact","1938, quarter 3","1943","Did not happen","1940, quarter 4","Nobody","","","1940","1940","1940","1939","1941","No","Left-KMT","Could not push into China","Republic of East Turkestan","1937","Mongolia and Tibet","1938","Nobody","Did not end","Yes","Li Zongren","1937, quarter 3"
"2023/06/09 7:03:57 PM GMT+4","None of the above","Remington","1946","CNT-FAI","1937, quarter 4","Indochina","1939, quarter 4","USA","USA","","","","","1940, quarter 4","No","","Late 1939","Did not end","Nobody","Nobody","","","1945, quarter 3","","No","1940, quarter 1","","","","","CHA","Yes, was repelled","Yes, successfully","1940, quarter 1","","1939, quarter 4","No","Split between starting nations","Chile","1938, quarter 3","Did not happen","Pluralism","The Pact","1938, quarter 1","The Cairo Pact","","","","1941, quarter 2","No","Armenia;Cyrenaica","Dominion of India","Dmitry Romanov (Tsar)","","","Yan Xishan","Recognize the Central Government","No","Market Liberal","Poland did not rebel","No","Moscow Accord","1938, quarter 3","1939","Did not happen","1940, quarter 1","JAP","1942, quarter 4","","1939","1939","Did not happen","Did not happen","1943","No","Nobody","Could not push into China","Republic of East Turkestan","1938","Ma Clique","1939","Nanjing Clique","Quarter 4, 1936","Yes","Ma Ji","1937, quarter 4"
"2023/06/09 7:04:18 PM GMT+4","None of the above","Remington","1945","Carlists","1938, quarter 3","GEA (with or without Vietnam)","1936, quarter 4","NEE","","","","","NEE","1942, quarter 1","Sided with NEE","","Early 1940","1940, quarter 4","Reichspakt","Reichspakt","","1940, quarter 4","1942, quarter 3","1944, quarter 4","No","1942, quarter 4","","","1943, quarter 2","Reichspakt","NGR;CHA","Yes, successfully","No","1940, quarter 1","","1940, quarter 1","No","Italian Republic/Federation","Argentina","1939, quarter 1","Did not happen","Pluralism","The Pact","1940, quarter 1","The Cairo Pact","","","","1939, quarter 3","Yes, but OTT still lost the war","Kurdistan;Assyria;Cyprus;Armenia;Tripolitania","Dominion of India","Kirill Romanov (Tsar)","","","Yan Xishan","Shanxi Marches On","No","Social Conservative","Poland did not rebel","Yes","Moscow Accord","1938, quarter 1","1944","Did not happen","1940, quarter 2","Nobody","","","1939","1939","Did not happen","1940","Did not happen","Started by Japan","Nobody","Could not push into China","Xinjiang Clique","1937","Mongolia and Tibet","1938","Nanjing Clique","Quarter 2, 1937","Yes","Chen Jiongming","1937, quarter 2"
"2023/06/09 7:04:40 PM GMT+4","None of the above","Remington","1947","Kingdom of Spain","1938, quarter 3","Did not happen","","CSA","","","","","CSA","1941, quarter 1","No","","Mid 1940","Did not end","Nobody","Nobody","","","","","Yes, during or after WK2","1940, quarter 2","1942, quarter 2","CSA","","","CHA","Yes, was repelled","Yes, was repelled","1940, quarter 2","","1940, quarter 2","No","Two Sicilies","Argentina","1939, quarter 3","Argentina","Pluralism","The Pact","1938, quarter 1","","Nobody","","","Did not end","No","Armenia;Cyrenaica","Dominion of India","","","","Yan Xishan","Recognize the Central Government","No","Market Liberal","Poland did not rebel","No","Third Internationale","1938, quarter 2","1940","Did not happen","1940, quarter 3","Nobody","","","Did not happen","Did not happen","Did not happen","Did not happen","1941","No","Nobody","Could not push into China","Nobody","Did not end","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936","Yes","Chen Jiongming","1937, quarter 3"
"2023/06/09 7:05:02 PM GMT+4","None of the above","Remington","1945","Carlists","1938, quarter 3","Did not happen","","CSA","","","CSA","","","1940, quarter 1","No","South Africa","Early 1940","1941, quarter 2","Reichspakt","Reichspakt","","1941, quarter 2","","1942, quarter 3","Yes, during or after WK2","1940, quarter 2","1940, quarter 4","CSA","","","NGR","No","No","1940, quarter 2","","","","Split between starting nations","Argentina","1939, quarter 2","Did not happen","Pluralism","Bulgaria","1938, quarter 2","The Cairo Pact","","","","1944, quarter 1","No","Iraq;Kurdistan;Cyprus;Armenia;Cyrenaica","Dominion of India","Wrangel (Tsar)","","","Yan Xishan","Shanxi Marches On","No","Authoritarian Democrat","Poland did not rebel","Yes","Belgrade Pact","1938, quarter 3","Did not happen","Did not happen","1940, quarter 3","Nobody","","","Did not happen","1939","1941","1939","1944","Started by Japan","Nobody","","Nobody","Did not end","Ma Clique","1938","Nobody","Did not end","Yes","Chen Mingshu","1937, quarter 2"
"2023/06/10 2:36:52 PM GMT+4","None of the above","Remington","1947","Carlists","1938, quarter 4","GEA (with or without Vietnam)","1937, quarter 2","CSA","","","","CSA","","1940, quarter 4","No","South Africa","Mid 1940","1943, quarter 1","Reichspakt","Nobody","","1943, quarter 1","1943, quarter 1","","Yes, during or after WK2","1940, quarter 2","1942, quarter 2","CSA","","","CHA","Yes, successfully","No","1940, quarter 3","","1940, quarter 3","No","Two Sicilies","Argentina","1939, quarter 1","Did not happen","Pluralism","The Pact","1937, quarter 3","The Cairo Pact","","","","1939, quarter 1","Yes, but OTT still lost the war","Armenia","Princely Federation/Hyderabad","Republic","","","Yan Xishan","Recognize the Central Government","No","Market Liberal","Poland did not rebel","Yes","Belgrade Pact","1938, quarter 2","Did not happen","Did not happen","1940, quarter 3","Nobody","","","Did not happen","1941","1942","1941","1942","No","Left-KMT","","Nobody","Did not end","Mongolia and Tibet","1938","Nobody","Did not end","Avoided - Li Zongren","",""
"2023/06/10 2:37:11 PM GMT+4","None of the above","Remington","1946","Carlists","1938, quarter 3","Did not happen","","CSA","","","","CSA","","1941, quarter 4","No","","Mid 1940","1944, quarter 4","Reichspakt","Reichspakt","","1944, quarter 4","1945, quarter 2","1946, quarter 2","No","Did not join","","","1940, quarter 4","FRA","CHA","No","Yes, successfully","1940, quarter 4","","1940, quarter 4","No","Italian Republic/Federation","Argentina","1940, quarter 1","Did not happen","Pluralism","The Pact","1940, quarter 2","The Cairo Pact","","","","1939, quarter 3","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Cyrenaica","Princely Federation/Hyderabad","","","","Nobody","Shanxi Marches On","No","Authoritarian Democrat","Poland did not rebel","Yes","Moscow Accord","1937, quarter 2","Did not happen","Did not happen","1940, quarter 3","Nobody","","","1939","Did not happen","1940","Before 1938","1939","Started by Japan","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936","Avoided - Chen Mingshu","",""
"2023/06/10 2:37:31 PM GMT+4","None of the above","Remington","1946","Carlists","1938, quarter 2","Nobody","Did not end","CSA","","","","CSA","","1940, quarter 2","No","","Early 1940","1944, quarter 4","Reichspakt","Nobody","","1944, quarter 4","","","Yes, during or after WK2","1940, quarter 2","1942, quarter 3","CSA","","","NGR;CHA","Yes, successfully","Yes, was repelled","1940, quarter 2","","1940, quarter 2","No","Split between starting nations","Chile","1938, quarter 1","Brazil","Pluralism","The Pact","1937, quarter 2","","The Cairo Pact","","","1939, quarter 4","Yes, but OTT still lost the war","Iraq;Kurdistan;Armenia;Cyrenaica","Princely Federation/Hyderabad","Kirill Romanov (Tsar)","","","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Market Liberal","Poland did not rebel","No","Moscow Accord","1938, quarter 4","1942","Did not happen","","JAP","1941, quarter 4","","Did not happen","1938","Did not happen","1939","1943","No","Nobody","Could not push into China","Xinjiang Clique","1937","Ma Clique","1938","Nanjing Clique","Quarter 4, 1936","Yes","Chen Jiongming","1937, quarter 1"
"2023/06/10 2:37:51 PM GMT+4","None of the above","Remington","1945","Carlists","1938, quarter 3","GEA (with or without Vietnam)","1937, quarter 1","CSA","","","","CSA","","1940, quarter 3","Sided with USA","","Early 1940","1942, quarter 2","Reichspakt","Reichspakt","","1942, quarter 2","","1944, quarter 2","Yes, during or after WK2","1940, quarter 2","1941, quarter 3","CSA","","","NGR;CHA","Yes, successfully","No","Did not join","","","","Split between starting nations","Argentina","1938, quarter 3","Did not happen","Pluralism","Bulgaria","1938, quarter 3","The Cairo Pact","","","","1940, quarter 1","Yes, but OTT still lost the war","Armenia","Dominion of India","Republic","","","Feng Yuxiang (mission timeout)","Recognize the Central Government","No","Social Conservative","Poland did not rebel","Yes","Moscow Accord","1938, quarter 2","1944","Did not happen","1940, quarter 2","Nobody","","","Did not happen","1938","Did not happen","1939","1941","Started by Japan","Nobody","Conquered only the coastal states","Nobody","Did not end","Ma Clique","1939","Shandong Clique","Quarter 1, 1937","Yes","Chen Jiongming","1937, quarter 1"
"2023/06/10 2:38:10 PM GMT+4","None of the above","Remington","1946","CNT-FAI","1937, quarter 4","Did not happen","","CSA","","","","CSA","","1940, quarter 3","No","White peace","Early 1940","1942, quarter 4","Internationale","Reichspakt","1942, quarter 4","","","1946, quarter 1","Yes, before WK2","Did not join","1941, quarter 2","CSA","1943, quarter 2","FRA","NGR;CHA","Yes, was repelled","No","1941, quarter 3","1943, quarter 2","1941, quarter 3","Yes, during or after WK2","Socialist Republic of Italy, on its own","Chile","1938, quarter 2","Did not happen","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Cyrenaica","Princely Federation/Hyderabad","","","","Yan Xishan","Recognize the Central Government","No","Authoritarian Democrat","Poland did not rebel","Yes","Moscow Accord","1937, quarter 4","1942","1943","1940, quarter 2","Nobody","","","1939","1939","Did not happen","1942","1940","No","A minor clique","Pushed back (with or without the Fading Sun)","Nobody","Did not end","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936","Yes","Chen Jiongming","1937, quarter 2"
"2023/06/10 2:38:31 PM GMT+4","None of the above","Remington","1946","CNT-FAI","1939, quarter 1","GEA (with or without Vietnam)","1938, quarter 2","USA","","","USA","","","1941, quarter 1","No","White peace","Early 1940","1945, quarter 2","Internationale","Russia","1945, quarter 2","","","","No","1940, quarter 2","","","1941, quarter 4","Someone else","CHA","No","No","1944, quarter 4","","1944, quarter 4","No","Socialist Republic of Italy, with INT aid","Chile","1938, quarter 3","Brazil","Pluralism","The Pact","1938, quarter 4","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Kurdistan;Armenia;Cyrenaica","Dominion of India","Wrangel (Tsar)","","","Feng Yuxiang (mission timeout)","Did not decide a foreign policy","No","Market Liberal","Poland did not rebel","No","Moscow Accord","1938, quarter 3","1941","Did not happen","1940, quarter 2","JAP","1945, quarter 1","","1942","1938","1942","1939","Did not happen","No","Japan (FNG is ally)","Conquered all of China","Xinjiang Clique","1937","Mongolia and Tibet","1938","Nobody","Did not end","Yes","Chen Jiongming","1936, quarter 4"
"2023/06/11 5:36:20 PM GMT+4","None of the above","Remington","1947","Carlists","1938, quarter 4","GEA (with or without Vietnam)","1940, quarter 3","NEE","","","","NEE","","1942, quarter 4","Sided with PSA","","Mid 1940","Did not end","Nobody","Nobody","","","","","No","1940, quarter 2","","","1941, quarter 4","FRA","","Yes, was repelled","Yes, was repelled","Did not join","","Did not join","","Socialist Republic of Italy, on its own","Chile","1938, quarter 2","Brazil","Pluralism","The Pact","1937, quarter 3","The Cairo Pact","","","","1940, quarter 2","Yes, but OTT still lost the war","Hejaz;Kurdistan;Cyprus;Armenia;Cyrenaica","Dominion of India","Wrangel (Tsar)","","","Feng Yuxiang (mission timeout)","Shanxi Marches On","Yes","Authoritarian Democrat","Poland did not rebel","No","Moscow Accord","1938, quarter 3","1944","Did not happen","1940, quarter 3","Nobody","","","Did not happen","Did not happen","1943","1938","1944","No","Nobody","Conquered only the coastal states","Nobody","Did not end","Mongolia and Tibet","1938","Nobody","Did not end","Yes","Chen Jiongming","1937, quarter 3"
"2023/06/11 5:36:40 PM GMT+4","None of the above","Remington","1946","Kingdom of Spain","1938, quarter 1","Did not happen","","PSA","","","","PSA","","1944, quarter 3","No","","Mid 1940","Did not end","Nobody","Nobody","","","","","No","1940, quarter 3","","","1943, quarter 4","Cairo Pact","CHA","Yes, was repelled","No","Did not join","","Did not join","","Socialist Republic of Italy, with INT aid","Chile","1938, quarter 4","Did not happen","Pluralism","The Pact","1938, quarter 4","The Cairo Pact","","","","1940, quarter 1","Yes, but OTT still lost the war","Kurdistan;Armenia;Cyrenaica","Split between starting nations","","","","Yan Xishan","Recognize the Central Government","No","Authoritarian Democrat","Poland did not rebel","Yes","Moscow Accord","1938, quarter 1","1941","Did not happen","1940, quarter 3","JAP","1946, quarter 2","","1939","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","Conquered all of China","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936","Avoided - Chen Mingshu","",""
"2023/06/11 5:37:00 PM GMT+4","None of the above","Remington","1946","Carlists","1938, quarter 4","Did not happen","","CSA","","","","CSA","","1941, quarter 1","Attacked CSA","","Mid 1940","1942, quarter 3","Reichspakt","Reichspakt","","1942, quarter 3","1942, quarter 4","1942, quarter 2","No","1940, quarter 2","","","","","TUN;CHA","Yes, successfully","No","Did not join","","Did not join","","Italian Republic/Federation","Chile","1938, quarter 3","Brazil","Pluralism","The Pact","1937, quarter 3","The Cairo Pact","","","","1939, quarter 3","Yes, but OTT still lost the war","Hejaz;Armenia;Cyrenaica","Dominion of India","Republic","","","Yan Xishan","Recognize the Central Government","No","Market Liberal","Poland did not rebel","No","Moscow Accord","1938, quarter 2","1940","Did not happen","1940, quarter 3","Nobody","","","1938","Did not happen","Did not happen","Did not happen","1943","Started by Japan","Nobody","Could not push into China","Nobody","Did not end","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936","Yes","Chen Jiongming","1938, quarter 1"
"2023/06/11 5:37:20 PM GMT+4","None of the above","Remington","1945","CNT-FAI","1937, quarter 3","GEA (with or without Vietnam)","1936, quarter 4","TEX","","","","","TEX","1941, quarter 2","No","","Early 1940","1941, quarter 4","Reichspakt","Reichspakt","","1941, quarter 4","1942, quarter 1","1943, quarter 3","No","1940, quarter 2","","","","","CHA","No","Yes, successfully","Did not join","1944, quarter 3","1943, quarter 4","Yes, during or after WK2","Two Sicilies","Chile","1938, quarter 2","Brazil","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 3","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Cyrenaica","Dominion of India","Wrangel (Tsar)","","","Yan Xishan","Recognize the Central Government","No","Market Liberal","Poland did not rebel","No","Moscow Accord","1938, quarter 3","1940","1945","1940, quarter 2","GEA","","1945, quarter 1","Did not happen","1939","1939","1939","1941","Started by Russia","Left-KMT","Pushed back (with or without the Fading Sun)","Xinjiang Clique","1937","Mongolia and Tibet","1938","Nobody","Did not end","Yes","Chen Lianbo","1937, quarter 2"
"2023/06/11 5:37:41 PM GMT+4","None of the above","Remington","1947","Kingdom of Spain","1938, quarter 3","Did not happen","","CSA","","","","CSA","","1940, quarter 1","Sided with USA","","Mid 1940","1942, quarter 1","Reichspakt","Reichspakt","","1942, quarter 1","1944, quarter 3","1946, quarter 2","No","1940, quarter 2","","","","","","Yes, successfully","Yes, successfully","Did not join","","Did not join","","Split between starting nations","Chile","1938, quarter 1","Did not happen","Pluralism","The Pact","1939, quarter 1","The Cairo Pact","","","","1939, quarter 4","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Puppeted by a foreign power","","","","Yan Xishan","Recognize the Central Government","No","Authoritarian Democrat","Poland did not rebel","Yes","Moscow Accord","1938, quarter 2","Did not happen","Did not happen","1940, quarter 2","JAP","1942, quarter 4","","Did not happen","1939","After 1945","1938","1940","No","Nobody","","Kumul Khanate","1937","Mongolia and Tibet","1938","Nobody","Did not end","Yes","Chen Jiongming","1937, quarter 2"
"2023/06/11 5:38:01 PM GMT+4","None of the above","Remington","1947","CNT-FAI","1940, quarter 1","Did not happen","","PSA","","","","PSA","","1941, quarter 3","Attacked CSA","Natal","Early 1940","1942, quarter 1","Reichspakt","Reichspakt","","1942, quarter 1","1943, quarter 1","1943, quarter 4","No","1940, quarter 2","","","","","CHA","No","Yes, successfully","Did not join","","Did not join","","Split between starting nations","Argentina","1938, quarter 2","Did not happen","Pluralism","The Pact","1938, quarter 1","The Cairo Pact","","","","1939, quarter 3","Yes, but OTT still lost the war","Armenia","Dominion of India","Republic","","","Yan Xishan","Recognize the Central Government","No","Social Conservative","Poland did not rebel","No","Belgrade Pact","1938, quarter 4","1943","Did not happen","1940, quarter 2","Nobody","","","1938","1942","1942","1941","1943","Started by Japan","Nobody","Conquered all of China","Republic of East Turkestan","1939","Mongolia and Tibet","1937","Nobody","Did not end","Yes","Chen Jiongming","1937, quarter 3"
"2023/06/12 10:28:26 PM GMT+4","Dev","The Alpha Dog","1946","Carlists","1937, quarter 3","Did not happen","","CSA","","","","","CSA","1941, quarter 1","Sided with NEE","","Late 1940","1942, quarter 3","Reichspakt","Reichspakt","","1942, quarter 3","1944, quarter 1","","Yes, during or after WK2","1940, quarter 4","1942, quarter 1","CSA","","","NGR;CHA","Yes, successfully","No","1941, quarter 1","","Did not join","","Two Sicilies","Chile","1938, quarter 1","Did not happen","Pluralism","The Pact","1938, quarter 2","","The Cairo Pact","","","1939, quarter 4","No","Iraq;Armenia;Cyrenaica","Dominion of India","Kirill Romanov (Tsar)","","","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Authoritarian Democrat","Socialists","No","Belgrade Pact","1938, quarter 3","1941","Did not happen","","Did not happen","","","Did not happen","Did not happen","1940","1939","Did not happen","No","Nobody","Conquered only the coastal states","Nobody","Did not end","Ma Clique","1938","Nobody","Did not end","Yes","Li Zongren","1937, quarter 2"
"2023/06/12 10:44:33 PM GMT+4","Dev","The Alpha Dog","1947","Carlists","1938, quarter 2","Did not happen","","USA","","","USA","","","1939, quarter 4","No","","Mid 1940","1942, quarter 1","Reichspakt","Reichspakt","","1942, quarter 1","","1944, quarter 1","No","1940, quarter 3","","","1945, quarter 3","Internationale (not France)","CHA","No","Yes, was repelled","Did not join","","Did not join","","Socialist Republic of Italy, on its own","Argentina","1939, quarter 1","Did not happen","Pluralism","The Pact","1938, quarter 1","The Ottoman Empire","","","","1945, quarter 3","Yes, and OTT won the war","Iraq;Armenia","Dominion of India","Kirill Romanov (Tsar)","","","Yan Xishan","Recognize the Central Government","No","Authoritarian Democrat","Poland did not rebel","No","Moscow Accord","1938, quarter 3","Did not happen","Did not happen","1940, quarter 3","Nobody","","","1940","1939","1941","1940","1941","Started by Japan","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Shandong Clique","Quarter 2, 1937","Yes","Li Zongren","1937, quarter 1"
"2023/06/12 10:50:07 PM GMT+4","Dev","The Alpha Dog","1947","Carlists","1938, quarter 3","Did not happen","","PSA","","","PSA","","","1941, quarter 4","Sided with PSA","White peace","Mid 1940","1942, quarter 1","Reichspakt","Reichspakt","","1942, quarter 1","1943, quarter 2","1942, quarter 2","No","Did not join","","","1941, quarter 2","FRA","","Yes, successfully","Yes, successfully","Did not join","","1942, quarter 4","No","Italian Republic/Federation","Argentina","1941, quarter 2","Did not happen","Pluralism","The Pact","1940, quarter 3","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","Republic","","","Feng Yuxiang (balance of power)","Shanxi Marches On","No","Market Liberal","Poland did not rebel","No","Belgrade Pact","1938, quarter 2","1940","Did not happen","1940, quarter 3","Nobody","","","1939","1938","1939","Did not happen","1941","Started by Japan","Zhili Qing","Could not push into China","Nobody","Did not end","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936","Avoided - Li Zongren","",""
